"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","724","[GET] Hello c пустым name","API","Tue Aug 19 16:22:47 UTC 2025","passed","Tue Aug 19 16:22:48 UTC 2025","","API/hello.spec.ts","",""
"","3609","Получить userId после логина","API","Tue Aug 19 16:22:48 UTC 2025","passed","Tue Aug 19 16:22:52 UTC 2025","Авторизованный пользователь","API/user.spec.ts","",""
"","654","[GET] Hello выводит переданный name","API","Tue Aug 19 16:22:46 UTC 2025","passed","Tue Aug 19 16:22:47 UTC 2025","","API/hello.spec.ts","",""
"","13178","Проверить лейаут категорий","unauthorized","Tue Aug 19 16:22:03 UTC 2025","failed","Tue Aug 19 16:22:16 UTC 2025","","UI/unauthorized/categories-page.spec.ts","",""
"","4041","Запрещено удаление чужого аккаунта","API","Tue Aug 19 16:22:52 UTC 2025","passed","Tue Aug 19 16:22:56 UTC 2025","Авторизованный пользователь","API/user.spec.ts","",""
"","5792","Проверить лейаут таба - Команда R","unauthorized","Tue Aug 19 16:22:16 UTC 2025","passed","Tue Aug 19 16:22:22 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","1222","Запрещено удаление аккаунта","API","Tue Aug 19 16:22:52 UTC 2025","passed","Tue Aug 19 16:22:53 UTC 2025","Неавторизованный пользователь","API/user.spec.ts","",""
"","7652","Проверить лейаут таба - Как развивать канал","unauthorized","Tue Aug 19 16:22:06 UTC 2025","passed","Tue Aug 19 16:22:13 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","13858","Проверить лейаут таба - Первые шаги","unauthorized","Tue Aug 19 16:21:55 UTC 2025","passed","Tue Aug 19 16:22:08 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","7705","Проверить попап уведомлений для неавторизованного пользователя","unauthorized","Tue Aug 19 16:22:28 UTC 2025","passed","Tue Aug 19 16:22:35 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","16210","Аутентификация","auth","Tue Aug 19 16:21:49 UTC 2025","passed","Tue Aug 19 16:22:05 UTC 2025","","UI/auth.spec.ts","",""
"","13365","Проверить список добавления контента для неавторизованного пользователя","unauthorized","Tue Aug 19 16:22:25 UTC 2025","passed","Tue Aug 19 16:22:39 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","8331","Проверить доступность контента для авторизованного пользователя","authorized","Tue Aug 19 16:23:11 UTC 2025","passed","Tue Aug 19 16:23:19 UTC 2025","","UI/authorized/subscriptions-page.spec.ts","",""
"","4958","Обновить данные своего аккаунта","API","Tue Aug 19 16:22:48 UTC 2025","passed","Tue Aug 19 16:22:53 UTC 2025","Авторизованный пользователь","API/user.spec.ts","",""
"","7355","Проверить лейаут таба - Монетизация","unauthorized","Tue Aug 19 16:22:08 UTC 2025","passed","Tue Aug 19 16:22:16 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
