"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","670","[GET] Hello c пустым name","API","Wed Aug 20 06:42:16 UTC 2025","passed","Wed Aug 20 06:42:17 UTC 2025","","API/hello.spec.ts","",""
"","4854","Запрещено удаление чужого аккаунта","API","Wed Aug 20 06:42:22 UTC 2025","passed","Wed Aug 20 06:42:27 UTC 2025","Авторизованный пользователь","API/user.spec.ts","",""
"","8685","Проверить попап уведомлений для неавторизованного пользователя","unauthorized","Wed Aug 20 06:41:51 UTC 2025","passed","Wed Aug 20 06:42:00 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","8072","Проверить доступность элементов меню пользователя в хедере для авторизованного пользователя","authorized","Wed Aug 20 06:42:39 UTC 2025","passed","Wed Aug 20 06:42:47 UTC 2025","","UI/authorized/main-page.spec.ts","",""
"","12003","Проверить боковое меню для неавторизованного пользователя","unauthorized","Wed Aug 20 06:41:39 UTC 2025","passed","Wed Aug 20 06:41:51 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","9820","Проверить лейаут таба - Как развивать канал","unauthorized","Wed Aug 20 06:41:23 UTC 2025","passed","Wed Aug 20 06:41:33 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","11883","Проверить доступность элементов попапа уведомлений для авторизованного пользователя","authorized","Wed Aug 20 06:42:28 UTC 2025","passed","Wed Aug 20 06:42:40 UTC 2025","","UI/authorized/main-page.spec.ts","",""
"","16382","Проверить модальное окно авторизации для неавторизованного пользователя","unauthorized","Wed Aug 20 06:41:58 UTC 2025","passed","Wed Aug 20 06:42:15 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","888","[GET] Hello без name","API","Wed Aug 20 06:42:16 UTC 2025","passed","Wed Aug 20 06:42:16 UTC 2025","","API/hello.spec.ts","",""
"","8958","Проверить лейаут таба - Команда R","unauthorized","Wed Aug 20 06:41:38 UTC 2025","passed","Wed Aug 20 06:41:47 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","764","[GET] Hello выводит переданный name","API","Wed Aug 20 06:42:15 UTC 2025","passed","Wed Aug 20 06:42:16 UTC 2025","","API/hello.spec.ts","",""
"","6323","Обновить данные своего аккаунта","API","Wed Aug 20 06:42:21 UTC 2025","passed","Wed Aug 20 06:42:27 UTC 2025","Авторизованный пользователь","API/user.spec.ts","",""
"","11327","Проверить доступность контента для неавторизованного пользователя","unauthorized","Wed Aug 20 06:42:13 UTC 2025","passed","Wed Aug 20 06:42:24 UTC 2025","","UI/unauthorized/subscriptions-page.spec.ts","",""
"","11218","Проверить табы категорий для неавторизованного пользователя","unauthorized","Wed Aug 20 06:41:47 UTC 2025","passed","Wed Aug 20 06:41:58 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","18708","Проверить лейаут категорий","unauthorized","Wed Aug 20 06:41:18 UTC 2025","failed","Wed Aug 20 06:41:36 UTC 2025","","UI/unauthorized/categories-page.spec.ts","",""
"","20624","Аутентификация","auth","Wed Aug 20 06:41:02 UTC 2025","passed","Wed Aug 20 06:41:23 UTC 2025","","UI/auth.spec.ts","",""
"","4182","Получить userId после логина","API","Wed Aug 20 06:42:16 UTC 2025","passed","Wed Aug 20 06:42:21 UTC 2025","Авторизованный пользователь","API/user.spec.ts","",""
"","13460","Проверить список добавления контента для неавторизованного пользователя","unauthorized","Wed Aug 20 06:41:51 UTC 2025","passed","Wed Aug 20 06:42:04 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","9655","Проверить доступность контента для авторизованного пользователя","authorized","Wed Aug 20 06:42:39 UTC 2025","passed","Wed Aug 20 06:42:48 UTC 2025","","UI/authorized/subscriptions-page.spec.ts","",""
"","8534","Переключить тему с темной на светлую","unauthorized","Wed Aug 20 06:42:04 UTC 2025","passed","Wed Aug 20 06:42:13 UTC 2025","","UI/unauthorized/main-page.spec.ts","",""
"","1580","Запрещено удаление аккаунта","API","Wed Aug 20 06:42:25 UTC 2025","passed","Wed Aug 20 06:42:26 UTC 2025","Неавторизованный пользователь","API/user.spec.ts","",""
"","8815","Проверить хедер для неавторизованного пользователя","unauthorized","Wed Aug 20 06:41:42 UTC 2025","passed","Wed Aug 20 06:41:50 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","8521","Проверить лейаут таба - Правила","unauthorized","Wed Aug 20 06:41:33 UTC 2025","passed","Wed Aug 20 06:41:42 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","8522","Проверить лейаут таба - Монетизация","unauthorized","Wed Aug 20 06:41:30 UTC 2025","passed","Wed Aug 20 06:41:39 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","10567","Проверить лейаут таба - Первые шаги","unauthorized","Wed Aug 20 06:41:19 UTC 2025","passed","Wed Aug 20 06:41:30 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","15072","Проверить развернутое меню для неавторизованного пользователя","unauthorized","Wed Aug 20 06:42:00 UTC 2025","passed","Wed Aug 20 06:42:15 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
