"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4046","Получить инфо о User по Id","API","Tue Aug 19 14:59:22 UTC 2025","passed","Tue Aug 19 14:59:26 UTC 2025","Авторизованный пользователь","API/user.spec.ts","",""
"","8814","Проверить доступность элементов хедера для авторизованного пользователя","authorized","Tue Aug 19 14:59:36 UTC 2025","passed","Tue Aug 19 14:59:45 UTC 2025","","UI/authorized/main-page.spec.ts","",""
"","3615","Получить userId после логина","API","Tue Aug 19 14:59:23 UTC 2025","passed","Tue Aug 19 14:59:27 UTC 2025","Авторизованный пользователь","API/user.spec.ts","",""
"","5140","Обновить данные своего аккаунта","API","Tue Aug 19 14:59:26 UTC 2025","passed","Tue Aug 19 14:59:31 UTC 2025","Авторизованный пользователь","API/user.spec.ts","",""
"","6790","Проверить доступность элементов меню пользователя в хедере для авторизованного пользователя","authorized","Tue Aug 19 14:59:45 UTC 2025","passed","Tue Aug 19 14:59:52 UTC 2025","","UI/authorized/main-page.spec.ts","",""
"","8666","Проверить доступность контента для авторизованного пользователя","authorized","Tue Aug 19 14:59:47 UTC 2025","passed","Tue Aug 19 14:59:56 UTC 2025","","UI/authorized/subscriptions-page.spec.ts","",""
"","7690","Проверить хедер для неавторизованного пользователя","unauthorized","Tue Aug 19 14:58:46 UTC 2025","passed","Tue Aug 19 14:58:53 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","11956","Проверить лейаут категорий","unauthorized","Tue Aug 19 14:58:29 UTC 2025","failed","Tue Aug 19 14:58:41 UTC 2025","","UI/unauthorized/categories-page.spec.ts","",""
"","7202","Проверить лейаут таба - Монетизация","unauthorized","Tue Aug 19 14:58:35 UTC 2025","passed","Tue Aug 19 14:58:43 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","7565","Проверить доступность контента для неавторизованного пользователя","unauthorized","Tue Aug 19 14:59:15 UTC 2025","passed","Tue Aug 19 14:59:22 UTC 2025","","UI/unauthorized/subscriptions-page.spec.ts","",""
"","10921","Проверить список добавления контента для неавторизованного пользователя","unauthorized","Tue Aug 19 14:58:50 UTC 2025","passed","Tue Aug 19 14:59:01 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","19349","Аутентификация","auth","Tue Aug 19 14:58:15 UTC 2025","passed","Tue Aug 19 14:58:35 UTC 2025","","UI/auth.spec.ts","",""
"","541","[GET] Hello без name","API","Tue Aug 19 14:59:21 UTC 2025","passed","Tue Aug 19 14:59:22 UTC 2025","","API/hello.spec.ts","",""
"","10777","Проверить доступность элементов развернутого меню для авторизованного пользователя","authorized","Tue Aug 19 14:59:36 UTC 2025","passed","Tue Aug 19 14:59:47 UTC 2025","","UI/authorized/main-page.spec.ts","",""
"","5074","Проверить лейаут таба - Команда R","unauthorized","Tue Aug 19 14:58:42 UTC 2025","passed","Tue Aug 19 14:58:47 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","8725","Проверить лейаут таба - Первые шаги","unauthorized","Tue Aug 19 14:58:22 UTC 2025","passed","Tue Aug 19 14:58:30 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","13121","Проверить развернутое меню для неавторизованного пользователя","unauthorized","Tue Aug 19 14:59:01 UTC 2025","passed","Tue Aug 19 14:59:15 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","11013","Переключить тему с темной на светлую","unauthorized","Tue Aug 19 14:59:08 UTC 2025","passed","Tue Aug 19 14:59:19 UTC 2025","","UI/unauthorized/main-page.spec.ts","",""
"","745","[GET] Hello выводит переданный name","API","Tue Aug 19 14:59:20 UTC 2025","passed","Tue Aug 19 14:59:21 UTC 2025","","API/hello.spec.ts","",""
"","662","[GET] Hello c пустым name","API","Tue Aug 19 14:59:22 UTC 2025","passed","Tue Aug 19 14:59:22 UTC 2025","","API/hello.spec.ts","",""
"","6283","Проверить лейаут таба - Главная","unauthorized","Tue Aug 19 14:58:15 UTC 2025","passed","Tue Aug 19 14:58:22 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","10894","Проверить табы категорий для неавторизованного пользователя","unauthorized","Tue Aug 19 14:58:48 UTC 2025","passed","Tue Aug 19 14:58:58 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","7261","Проверить лейаут таба - Правила","unauthorized","Tue Aug 19 14:58:38 UTC 2025","passed","Tue Aug 19 14:58:46 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","7966","Проверить лейаут таба - Как развивать канал","unauthorized","Tue Aug 19 14:58:30 UTC 2025","passed","Tue Aug 19 14:58:38 UTC 2025","","UI/unauthorized/for-creators-page.spec.ts","",""
"","9888","Проверить модальное окно авторизации для неавторизованного пользователя","unauthorized","Tue Aug 19 14:58:58 UTC 2025","passed","Tue Aug 19 14:59:08 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","10537","Проверить попап уведомлений для неавторизованного пользователя","unauthorized","Tue Aug 19 14:59:24 UTC 2025","passed","Tue Aug 19 14:59:35 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","11622","Проверить доступность элементов попапа уведомлений для авторизованного пользователя","authorized","Tue Aug 19 14:59:36 UTC 2025","passed","Tue Aug 19 14:59:48 UTC 2025","","UI/authorized/main-page.spec.ts","",""
"","7715","Проверить боковое меню для неавторизованного пользователя","unauthorized","Tue Aug 19 14:58:43 UTC 2025","passed","Tue Aug 19 14:58:50 UTC 2025","Доступность элементов","UI/unauthorized/main-page.spec.ts","",""
"","1247","Запрещено удаление аккаунта","API","Tue Aug 19 14:59:30 UTC 2025","passed","Tue Aug 19 14:59:32 UTC 2025","Неавторизованный пользователь","API/user.spec.ts","",""
"","3929","Запрещено удаление чужого аккаунта","API","Tue Aug 19 14:59:27 UTC 2025","passed","Tue Aug 19 14:59:30 UTC 2025","Авторизованный пользователь","API/user.spec.ts","",""
