"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","Проверить доступность контента для неавторизованного пользователя","rutube-unauth-UI","Mon Sep 15 19:32:35 UTC 2025","failed","Mon Sep 15 19:32:35 UTC 2025","","tests/UI/unauthorized/subscriptions-page.spec.ts","",""
"","5","Проверить лейаут таба - Правила","rutube-unauth-UI","Mon Sep 15 19:32:30 UTC 2025","failed","Mon Sep 15 19:32:30 UTC 2025","","tests/UI/unauthorized/for-creators-page.spec.ts","",""
"","0","5. [GET] Получить todo по id","challenges-API","Mon Sep 15 19:36:41 UTC 2025","skipped","Mon Sep 15 19:36:41 UTC 2025","","tests/API/challenges.spec.ts","",""
"","5","Переключить тему с темной на светлую","rutube-unauth-UI","Mon Sep 15 19:32:35 UTC 2025","failed","Mon Sep 15 19:32:35 UTC 2025","","tests/UI/unauthorized/main-page.spec.ts","",""
"","30002","Обновить данные своего аккаунта","learnqa-API","Mon Sep 15 19:34:09 UTC 2025","broken","Mon Sep 15 19:34:39 UTC 2025","Авторизованный пользователь","tests/API/user.spec.ts","",""
"","0","15. [POST] Создать todo. Лишнее свойство в объекте todo.","challenges-API","Mon Sep 15 19:36:41 UTC 2025","skipped","Mon Sep 15 19:36:41 UTC 2025","","tests/API/challenges.spec.ts","",""
"","0","Проверить доступность элементов хедера для авторизованного пользователя","rutube-auth-UI","Mon Sep 15 19:36:41 UTC 2025","skipped","Mon Sep 15 19:36:41 UTC 2025","","tests/UI/authorized/main-page.spec.ts","",""
"","0","Проверить доступность элементов развернутого меню для авторизованного пользователя","rutube-auth-UI","Mon Sep 15 19:36:41 UTC 2025","skipped","Mon Sep 15 19:36:41 UTC 2025","","tests/UI/authorized/main-page.spec.ts","",""
"","0","12. [POST] Создать todo. Слишком длинный description.","challenges-API","Mon Sep 15 19:36:41 UTC 2025","skipped","Mon Sep 15 19:36:41 UTC 2025","","tests/API/challenges.spec.ts","",""
"","5","Проверить попап уведомлений для неавторизованного пользователя","rutube-unauth-UI","Mon Sep 15 19:32:33 UTC 2025","failed","Mon Sep 15 19:32:33 UTC 2025","Доступность элементов","tests/UI/unauthorized/main-page.spec.ts","",""
"","0","4. [GET] Получить список todo. Ошибка в end point.","challenges-API","Mon Sep 15 19:36:41 UTC 2025","skipped","Mon Sep 15 19:36:41 UTC 2025","","tests/API/challenges.spec.ts","",""
"","5","Проверить табы категорий для неавторизованного пользователя","rutube-unauth-UI","Mon Sep 15 19:32:32 UTC 2025","failed","Mon Sep 15 19:32:32 UTC 2025","Доступность элементов","tests/UI/unauthorized/main-page.spec.ts","",""
"","4","Проверить font-size кнопки ""Вход и регистрация""","rutube-unauth-UI","Mon Sep 15 19:32:35 UTC 2025","failed","Mon Sep 15 19:32:35 UTC 2025","","tests/UI/unauthorized/main-page.spec.ts","",""
"","5","Проверить развернутое меню для неавторизованного пользователя","rutube-unauth-UI","Mon Sep 15 19:32:34 UTC 2025","failed","Mon Sep 15 19:32:34 UTC 2025","Доступность элементов","tests/UI/unauthorized/main-page.spec.ts","",""
"","60090","2. [GET] Получить список challenges","challenges-API","Mon Sep 15 19:35:41 UTC 2025","broken","Mon Sep 15 19:36:41 UTC 2025","","tests/API/challenges.spec.ts","",""
"","30003","Запрещено удаление чужого аккаунта","learnqa-API","Mon Sep 15 19:35:11 UTC 2025","broken","Mon Sep 15 19:35:41 UTC 2025","Авторизованный пользователь","tests/API/user.spec.ts","",""
"","0","13. [POST] Создать todo. Граничные значения title и description.","challenges-API","Mon Sep 15 19:36:41 UTC 2025","skipped","Mon Sep 15 19:36:41 UTC 2025","","tests/API/challenges.spec.ts","",""
"","0","Проверить доступность элементов меню пользователя в хедере для авторизованного пользователя","rutube-auth-UI","Mon Sep 15 19:36:41 UTC 2025","skipped","Mon Sep 15 19:36:41 UTC 2025","","tests/UI/authorized/main-page.spec.ts","",""
"","5","Проверить хедер для неавторизованного пользователя","rutube-unauth-UI","Mon Sep 15 19:32:32 UTC 2025","failed","Mon Sep 15 19:32:32 UTC 2025","Доступность элементов","tests/UI/unauthorized/main-page.spec.ts","",""
